,SubjectID,Condition,Precision,Bias,Sessions,Alphasamples,Betasamples
10,sub_0030,Intero,12.288,7.518,1,"[ 4.59210822  9.67160714  8.66026684  8.66026684  5.31076873 10.52950233
  7.69476612  7.6897212   6.87904799  7.46074987 11.51665232 10.72047676
  8.20561523  6.4815002   7.05502678  8.69096397  6.87033007  8.69622468
  7.68936655  7.49523176  7.31485105  8.08563635  7.27488822  3.30596937
  3.30596937  6.94763021  9.70555557 14.39467023 11.79130795 12.76946321
  4.69791203  3.60748025  3.25958974  3.46366621  3.10722322 10.16331388
 10.92242359  4.9845945   4.95962827  7.13086005]","[14.31798723 13.51287434  9.93795477  9.93795477 13.39615586 10.99616976
 10.52245981 13.09070182 10.34643213 11.65364632 12.34262718 12.07594417
 14.35453066 12.80232107  9.39763819 13.98686286  9.88268973 13.36469101
 12.2071102   9.00768068 11.4491441   8.01259637  8.54476651  8.88138871
  8.88138871  8.60763161 20.1411524  15.53947822 13.47328183 11.0640547
  6.51515661 13.85242144 15.21835683 15.17989428 11.8813811  17.39742825
 11.81323361 11.19764724  9.74991521  9.90642143]"
11,sub_0031,Intero,9.896,-22.679,1,"[-22.86574026 -22.18124403 -21.40022871 -23.7735149  -20.00021647
 -20.54838345 -22.36725693 -21.7977334  -21.32382409 -22.24610653
 -22.07233265 -21.40348942 -24.16174898 -21.22625438 -21.5038157
 -22.71885479 -23.79023325 -21.44728199 -22.0697039  -21.41095802
 -24.70799014 -18.42110462 -19.84526967 -21.84196956 -21.64722382
 -21.03143896 -22.91789469 -22.7156904  -20.95437584 -20.95437584
 -24.65831986 -25.00442557 -24.91070999 -20.3945932  -21.67738962
 -21.51979311 -22.63969999 -20.91879829 -22.52211329 -21.16693654]","[10.35934518  9.13471974 11.03134446  8.09074358 13.23747875 13.47853122
  8.11733686  8.86703045 10.19852992  9.18145888  8.48310409  9.59587465
  8.83399969  7.18758657  6.92297017 11.99921513 10.67139643  9.34391078
  7.97391321 11.87692375  7.47885193  7.79368989  8.21069816  7.63899185
  8.0191669  11.13604533 10.60415812  8.65009604  7.40791684  7.40791684
 13.51142382 14.55937072 15.30289394  6.06963079  5.86721676  6.09175306
  7.77695292  8.68003563  7.38637901  9.47329663]"
12,sub_0032,Intero,10.43,-22.844,1,"[-22.90354486 -24.54742019 -23.91411147 -22.27655231 -21.89525016
 -25.31804063 -20.41126876 -20.41126876 -25.31576801 -20.70392945
 -23.51160321 -25.79878708 -21.11623112 -23.39397928 -18.58863543
 -19.52601878 -25.72676313 -20.75501677 -21.26820905 -24.09261313
 -23.64711552 -21.74428141 -21.44550354 -23.22097637 -23.49895408
 -19.41091746 -23.44827301 -21.81167282 -23.76790978 -22.7991014
 -23.05847111 -22.8528276  -19.41425996 -24.87166438 -21.78690732
 -24.22276148 -20.93175343 -20.69118197 -22.02678526 -20.92794543]","[ 9.40288331  9.19525139  9.29166411 11.55037721 11.72869514  9.62890853
  9.6187431   9.6187431  10.27665963  9.05135917 10.89274828 12.17073649
  8.35431479 13.81944191 16.29541666 15.6959945  13.67155616  8.6813698
  9.91456883 11.08194788 11.41974631  9.10845777 10.04062829  8.57754102
 11.35337026 10.13509828  9.68083569  7.99511602 10.23315002  9.51722724
  8.72710483 10.54529291  9.26531518 11.30415304 10.02233048  9.16455009
 10.3501835  11.9499192  10.17383951 10.61113404]"
13,sub_0034,Intero,20.221,-1.162,1,"[-2.26492525 -5.95263747 -4.1337165  -0.48777309  0.16833954 -0.04587909
 -3.19749887 -0.08020744  0.47374281 -3.85473214 -9.57976493 -7.10906677
 -8.16863283 -2.0492281  -1.61308207 -1.77918014 -1.38458414  0.85366732
 -1.26655885  0.08979306 -0.57646545 -4.01019981 -4.02217185 -3.29759534
 -4.06490527 -3.47966336 -2.62224681  3.62761705  0.62476969 -3.50366888
  2.11478755 -3.28597909  4.03539475 -4.13653267  1.2804546  -3.48933484
 -2.22253635 -3.69481034 -3.08764424  1.31018971]","[22.29588195 21.67827631 24.47777783 22.23632244 17.94546239 17.99909622
 18.0490982  19.78532061 26.74359624 18.25537238 23.36659769 20.55031186
 22.23990026 20.35901586 17.02941626 17.43667663 19.14777983 22.54958744
 20.93638274 22.8360092  24.79454367 23.01091598 20.33865806 17.53869439
 16.03361876 15.87964169 16.20246563 24.52218865 23.84937151 14.55408262
 34.38759439 25.80160566 17.89818523 17.49455804 21.75781965 20.04873696
 22.27940461 16.73943617 17.64514288 20.30352381]"
14,sub_0035,Intero,17.394,2.875,1,"[-3.73835021  0.27173908  2.18768339  3.5267508   2.78694016  5.89807191
  6.7869307   2.4403328   3.38579917  1.28641376  4.86224523  3.75754546
  0.97114331 -1.08424563  0.0797181   2.5089334   2.469648    2.96159067
  2.52011401  3.90766951  4.05990168  5.17898953  2.00641699  7.41808936
  4.3586271   4.95270418  0.32036786 -0.51554156  4.60448326  0.68433129
  0.58221507 -1.87801952 -2.24759573  7.55381338  2.69940591  1.97513901
 -0.92177735  6.54551232  1.91854024  5.41335745]","[25.79427729 14.31179624 11.66254024 14.17451501 15.10743602 17.83798186
 19.86689916 17.46762576 20.66207458 13.79576009 24.17034379 24.68329294
 18.52818879 17.97435589 18.93611744 19.27168307 11.86431783 12.24065437
 20.30504338 13.90775125 15.3998648  21.19331281 20.15474159 19.87197338
 13.46679706 31.04967518 12.15415042 12.96157098 11.64523179 19.27738366
 20.40441536 16.9654593  16.09313881 14.42185603 18.06050312 16.34251104
 18.96033812 18.58364559 25.15697626 21.3059504 ]"
15,sub_0037,Intero,14.514,-3.965,1,"[ 0.56172842  0.04892157 -2.31463032 -8.41045656 -4.51407927 -3.37523249
 -4.11571087 -6.23599371 -6.18764032 -1.63790756 -1.25351483  0.41056238
 -3.3775927  -5.70246271 -2.24045566 -3.48125744 -2.83018165 -1.38711169
 -3.09532129 -3.77540202 -5.86155534 -5.37715629 -5.64665886 -5.70985311
 -4.94661703 -3.61614265 -3.34640827 -1.12653755 -1.02022538 -8.76989276
 -8.08778109  0.96230432 -8.31615699 -4.34003704 -1.37553821 -4.72692756
 -6.88112724 -3.5967252  -3.90617511 -1.77984404]","[14.22179304 13.54765603 16.89511966 14.43661255 15.90487161 17.95937712
 11.57039243 15.74291812 13.14364555 11.74482066 17.6759681  18.60228152
  9.02264128 21.41848654 13.16172521 15.19637582 16.88643514 15.80530551
 15.75855085 14.05656683 13.10182305 14.4358071  16.80966973 13.48265171
 14.863639   14.50671923 17.54106034 16.28373597 18.91450283 12.77300349
 16.38672362 14.39857788 16.44082712 26.54581668 16.45085272 15.76003339
 17.79414988 10.3843458  17.51418685 16.01661334]"
16,sub_0038,Intero,8.953,-19.359,1,"[-19.73214248 -20.0039002  -18.63429959 -21.11456023 -17.26348488
 -21.00704088 -18.63555098 -21.22545977 -19.3080861  -20.90171812
 -18.02290738 -21.28457616 -16.46658387 -19.23748977 -20.49721213
 -18.82342449 -18.8793677  -20.67783007 -20.68647866 -19.63776694
 -20.89701624 -18.6674206  -20.15837518 -15.97553287 -16.19766452
 -18.0358624  -18.35224417 -18.8829369  -19.18261412 -19.67263328
 -19.17885775 -18.70720664 -21.72294721 -15.94752553 -19.04598194
 -18.01866781 -16.95791519 -18.13885455 -16.97775587 -15.28401596]","[ 9.23875638  6.89960993  7.42479278  7.22525182  8.60825632  7.87114454
  7.37672673  6.54524034  7.70620403  8.51412945  9.72456217 10.74328128
  7.98900841  9.7645488   9.64812285 10.71785293  7.50420305  9.24729489
  9.46303237  7.07313973  8.51733321 10.15259984  9.4213335   9.75315001
 12.42783472 11.32389129 12.43854926 10.35663367  7.69229063  7.87713106
  8.55790476  8.64923385  7.48353333  9.62567361 10.85467394 10.1496124
  9.46987405 12.59307411 13.34876732  9.92984562]"
17,sub_0039,Intero,8.955,-1.133,1,"[ 1.22506175 -1.02189403 -0.43228784 -0.93732892  1.85522191  2.50279141
  0.78439149 -1.32093522 -0.73612807 -1.50681201  0.98981692  0.09405888
 -2.03318284 -3.30190834 -0.76523599  1.01910994 -2.08365206  0.54725242
  0.91939282  1.21860237  2.35890781  3.01871565  0.06638543  0.73216555
  1.15754117 -2.43103539 -1.70147402 -0.60575944 -4.14842504 -2.51069018
 -1.20630451 -1.38410444 -1.96522379 -1.17015368 -1.90739849 -1.99542629
 -0.49259369  1.44403153  1.80240868  1.20417999]","[ 7.59725045 10.84347678  7.62595159  9.51275824 12.07388832 11.81762891
 10.54975987  8.33903149 12.01175016  7.22289673  8.97287031  7.7615372
 10.0944499   9.96435283  7.7448651   9.34298168  9.33942545 10.65926368
  9.28108178  8.22440586 11.09754816 11.58700743  9.52324022  9.43424753
  9.29598578  7.50181564  9.89059972  7.23276888  7.49049405  8.60583095
  9.71541269  9.57017903  8.29541336  7.62459451  6.49416942  6.67084859
 10.45819972  9.23724667 13.66023513  9.19290834]"
18,sub_0040,Intero,11.354,-33.947,1,"[-30.83526371 -29.95822951 -33.44228022 -34.46364344 -32.74449177
 -34.50798955 -32.2522504  -33.37875436 -31.51216754 -35.93234565
 -38.23917827 -36.08768942 -36.66199571 -36.53663963 -36.29096045
 -36.33704233 -36.12408815 -36.68726798 -34.32442281 -32.98625965
 -35.04585799 -34.61144677 -33.64506946 -34.40718862 -33.85446249
 -34.12973045 -31.94431929 -31.89475151 -33.94355631 -33.51736192
 -36.55738317 -31.42367057 -31.01086208 -33.37175999 -34.18466817
 -37.61148427 -37.99664436 -36.96057322 -32.90948959 -33.83275618]","[11.30692139 11.09439799  8.33874909  9.24783654  8.16239799 12.04787814
 10.35522943  7.88224602  6.52036398 20.27358017 15.62407767 10.17256251
  9.58857045  9.90639518  8.54852564  9.11548521  8.59543394 10.43883883
 11.16455184 14.61175011  9.13077095  8.81838222  9.17060766 11.85315866
 16.04692684  7.17869446  6.55056461  6.84872665 13.82182569 10.78540291
 22.80918808 20.58063677 10.79902631 10.60031617 11.32125112 17.20855848
 19.34061237 13.37893332 11.78150261 14.25063063]"
19,sub_0042,Intero,8.164,-20.401,1,"[-22.62997755 -21.98360397 -23.93831696 -23.69725891 -22.10815842
 -20.05566635 -19.54111484 -19.65523218 -18.73205425 -22.40619869
 -19.35856147 -19.65530029 -21.7676056  -22.15760461 -18.91000088
 -19.30273378 -19.66930913 -19.42080659 -21.82464889 -20.66837217
 -17.43426473 -18.30025257 -21.95622098 -21.94964951 -23.20427764
 -22.75559543 -19.96750101 -21.33818894 -19.94776406 -19.14419875
 -18.02238047 -22.71946774 -22.29157552 -18.99247223 -19.03138798
 -20.38202509 -19.85276356 -19.65339894 -21.00504038 -21.74477566]","[ 6.86532979  5.77042731  9.80727094 10.14279978  8.10101242  8.24741529
  6.22652238  6.66101913  7.6952392   8.53805477  9.62615576  9.56390666
  7.43279043  9.11683178  7.80863179  7.09863959  7.22506188 10.46394099
  8.208009    8.01444374  8.89457939  8.1482526   5.30453046  5.79765695
  9.96105254  5.4446973  10.85807331  6.68984009 10.73389219  9.5183734
  7.26883577  9.72852519 13.20611078  6.49390495  7.34677098  8.41190978
  8.55300259  7.80496755  6.78461209 10.56611156]"
20,sub_0043,Intero,10.968,-15.95,1,"[-17.22445398 -15.38112022 -16.64198356 -13.59194444 -12.51134238
 -17.86604365 -16.38460736 -18.48798018 -18.04208985 -18.33493751
 -17.15214458 -15.59769081 -13.66339906 -16.8514462  -13.69025405
 -15.88940718 -13.7171442  -18.80052597 -16.76061523 -14.9707506
 -15.63204114 -17.34442985 -13.40668114 -12.56353064  -9.65837633
 -10.39232939 -13.85610232 -15.4975776  -16.44509958 -16.15918852
 -15.55462184 -14.57602816 -18.07822761 -15.76691987 -17.66268828
 -14.30877645 -15.92512032 -17.63183829 -15.6894689  -12.19073776]","[10.8557852  10.81769931 10.2114691  10.10760688  8.67779296  9.93042593
 13.35934425  8.82592666  8.48734869 10.57718607  9.98352441 13.36657522
 11.68914413  9.21082513  9.94341007  8.99856924  9.54152829 13.28029752
  9.42645742 10.93651331  8.95750062  7.88134517 11.25498697 10.78806664
 10.43008211 10.86659484 13.55280478  8.96500625 11.31186636  9.96497737
 11.34303506 11.87629423 10.59963074 12.82016312 10.01654113 10.32746772
  9.22045742  8.68376161 12.34320277 15.17478819]"
21,sub_0046,Intero,13.297,0.06,1,"[ 1.18523839  3.09030117 -4.98904859 -0.6467372   4.78660892  0.43716007
 -0.72469491 -1.34347267 -2.12914076  0.083451   -1.59784315  0.60350286
  0.48409121 -2.22052463 -1.09224642 -1.41506852 -0.54355151  2.00436978
 -0.66177885 -1.7110854   2.14207265 -0.22652662  0.95694424 -3.64580059
 -0.62012549  2.66967673 -0.53083151 -0.51641924 -1.1451174  -0.47585983
  1.19156344  2.93596755 -3.36332394 -1.27438799  1.11494966  1.59737123
  0.29926171  2.23470618 -1.14441691  0.26446464]","[15.76947634 21.23513055 13.35005511 10.37146401 10.63100688 13.28329196
 14.52556442 10.21774538 12.63468522  9.21478154 15.9087233  13.67731026
 16.06579317 16.31187072 13.58410623 13.71211332 18.44220865 16.44810381
 18.738377   11.95535175 13.00820611 13.7121334  10.24742775 15.11959996
 13.4574975  14.10827592 14.11984594 12.51476533 12.55090191 10.25547409
 17.06627286 11.70595819 13.54530521 14.43393924 13.12052736 13.81129033
 11.64720345 13.07317313 11.07268474 16.80991065]"
22,sub_0047,Intero,14.472,7.272,1,"[ 6.46778408  6.53147409  6.28674498  5.09908844  4.85733419  1.10835934
  1.8892991   9.77154648  9.12935226  6.78297575  8.23975299  6.0762954
  6.16428575  8.36731883  7.67671781 10.68594452 12.61992036 11.07032745
  5.15309043 10.55397259  3.45227719  8.67381533  8.12932262  8.30068992
  3.8217687   2.71843431  5.08660575  5.07905825 10.78665166  8.63780089
  9.49936665 12.17894777  7.30129553 10.93479946  9.60581382  9.19073192
  7.43904522 10.64167686  9.49273174 12.54678409]","[13.82472839 15.16050441 13.75340507 15.09439195 14.93017797 21.16359005
 15.53226456 14.37652041  9.47419701  9.81445389 10.73996212 13.54332698
 13.59805687 12.36288816 12.32709155 16.24738281 19.99180625 22.18262396
 12.92300389 10.85285871 15.82560364 15.56724812 18.08790115 17.99400219
 20.48449924 16.85587496 14.01699658 21.75113278 11.53429368  9.98610707
 15.83060877 14.72562641 20.02073635 13.16697154 12.76377262 10.48439088
 13.34207531 13.1418564  21.52209381 17.68078919]"
23,sub_0048,Intero,9.917,-0.686,1,"[-3.00274677  1.29609962  1.79753612 -3.02254867  1.91425341 -1.27514102
 -0.71324475  0.05308873  0.78850605 -2.28718115 -4.34312609 -0.76845095
 -2.8387088  -2.45177894 -2.7891005   1.74566425  1.32468382 -0.78761607
  0.10102686  0.39454081 -2.129282   -0.14861555 -1.43733707 -1.09846226
 -0.41236995  1.21433988  1.43300051  1.35479419  1.55732545 -2.19592478
  3.19223883  0.21075039  1.33077337 -2.59320536 -1.61744054  0.2529346
 -2.17599967 -3.00746749 -2.57885147 -2.9953459 ]","[ 9.84008747  9.03410823  8.41077    11.22188049  7.85734656  8.47212763
  9.95526363 11.03818357  9.95841723  9.03950986  9.89250912  8.81697868
  8.05079244  8.05728826  8.41710048 10.51521545 10.64254597  8.92013661
  8.32142519  8.09163592  9.64024252  9.8199818   8.33462504 10.65046876
  7.89527794  8.43806637 11.53736367 10.90276527 10.86969413 11.04658183
 13.67701737 12.39271168  9.65895755 11.5205864  10.13580935  9.6008942
  9.85508815 10.75322073 10.81586162 10.5426996 ]"
24,sub_0049,Intero,11.86,-6.902,1,"[ -7.01218259 -10.71721755  -7.33605265  -6.6596589  -10.62726354
  -7.19110675  -7.77636043  -7.48532844  -6.98269562  -5.75066964
  -3.13536186  -5.26736953  -5.81735808  -5.69861016  -8.65153794
  -4.33635289  -3.72995009  -3.5274049   -3.75205629  -5.41090881
  -7.20572671  -7.28417875  -5.96237504  -5.96237504  -4.9117282
  -5.53060017  -6.11664891  -7.10663536  -5.68147216  -7.83661235
  -3.20317373  -4.25735038  -4.04803282  -5.69024505  -5.62347117
  -8.74080825  -6.16248595 -10.13023659  -8.10024834  -7.82587493]","[13.21231175  9.83860241  8.24362733 11.36018095 15.10275085 11.77499047
 11.72551204 11.98419274 10.64445218 10.3531756  10.12028477 13.14747769
 10.79882333 10.62726014 10.49563592 12.47541296 14.0609874  13.8781424
 11.08718104  9.57452403 13.29989551 11.45455351 11.75810963 11.75810963
  9.60980751 11.17328155 12.7972902   9.2208024  13.00442924 10.56043992
 10.87513672 11.85855443 12.76881645 14.59316964 14.306105   15.40529575
  7.10460238 12.64240594 10.09428378 10.2183866 ]"
